date	day	hour	users#	messages#
2017-03-10	Fri	22	2	7
2017-03-11	Sat	19	2	6
2017-03-11	Sat	20	2	10
2017-03-11	Sat	21	3	19
2017-03-11	Sat	22	2	5
2017-03-11	Sat	23	3	11
2017-03-12	Sun	00	3	22
2017-03-12	Sun	01	3	60
2017-03-12	Sun	03	1	0
2017-03-12	Sun	11	1	0
2017-03-12	Sun	13	1	0
2017-03-12	Sun	14	1	0
2017-03-13	Mon	13	2	5
2017-03-13	Mon	17	2	19
2017-03-13	Mon	18	3	9
2017-03-13	Mon	19	2	9
2017-03-13	Mon	21	3	3
2017-03-14	Tue	11	2	2
2017-03-14	Tue	15	2	5
2017-03-14	Tue	17	1	5
2017-03-14	Tue	19	2	0
2017-03-14	Tue	20	2	0
2017-03-14	Tue	21	3	7
2017-03-14	Tue	22	3	2
2017-03-14	Tue	23	1	1
2017-03-15	Wed	00	1	2
2017-03-15	Wed	07	1	0
2017-03-15	Wed	14	1	0
2017-03-15	Wed	15	3	2
2017-03-15	Wed	16	3	9
2017-03-15	Wed	18	3	22
2017-03-15	Wed	19	1	0
2017-03-15	Wed	23	1	4
2017-03-16	Thu	00	3	8
2017-03-16	Thu	08	2	1
2017-03-16	Thu	14	1	0
2017-03-16	Thu	15	3	18
2017-03-16	Thu	16	2	8
2017-03-16	Thu	18	3	16
2017-03-16	Thu	22	2	11
2017-03-16	Thu	23	2	0
2017-03-17	Fri	00	3	2
2017-03-17	Fri	13	3	5
2017-03-17	Fri	14	3	5
2017-03-17	Fri	15	3	4
2017-03-17	Fri	16	3	3
2017-03-17	Fri	17	3	13
2017-03-17	Fri	18	3	7
2017-03-18	Sat	14	3	1
2017-03-18	Sat	15	3	3
2017-03-19	Sun	16	2	14
2017-03-19	Sun	17	3	18
2017-03-19	Sun	18	1	0
2017-03-21	Tue	16	1	0
2017-03-21	Tue	17	2	0
2017-03-24	Fri	11	1	0
2017-03-24	Fri	13	2	1
2017-03-25	Sat	18	2	5
2017-03-27	Mon	16	1	0
2017-03-27	Mon	17	3	4
2017-03-27	Mon	23	2	7
2017-03-28	Tue	00	3	5
2017-03-28	Tue	10	2	0
2017-03-28	Tue	23	3	3
2017-03-29	Wed	02	1	2
2017-03-29	Wed	08	1	0
2017-03-29	Wed	10	3	3
2017-04-06	Thu	14	2	3
2017-04-06	Thu	15	3	16
2017-04-06	Thu	16	1	0
2017-04-06	Thu	19	2	0
2017-04-10	Mon	13	2	5
2017-04-10	Mon	14	1	0
2017-04-10	Mon	15	1	1
2017-04-25	Tue	21	3	6
2017-05-07	Sun	15	2	1
2017-05-10	Wed	14	2	0
2017-05-10	Wed	15	2	2
2017-05-11	Thu	16	2	4
2017-05-11	Thu	19	1	1
2017-05-12	Fri	13	2	4
2017-05-12	Fri	14	3	2
2017-05-14	Sun	23	3	5
2017-05-15	Mon	14	2	0
2017-05-15	Mon	15	3	1
2017-05-16	Tue	14	2	1
2017-05-16	Tue	15	3	22
2017-05-16	Tue	16	1	0
2017-05-22	Mon	13	3	12
2017-05-28	Sun	23	2	4
2017-05-29	Mon	00	2	1
2017-05-30	Tue	22	3	1
2017-05-31	Wed	16	3	8
2017-06-02	Fri	23	3	8
2017-06-05	Mon	00	2	0
2017-06-05	Mon	01	1	1
2017-06-05	Mon	10	2	0
2017-06-05	Mon	11	3	1
2017-06-05	Mon	16	1	2
2017-06-05	Mon	17	1	0
2017-06-06	Tue	00	3	16
2017-06-07	Wed	11	2	3
2017-06-07	Wed	13	1	2
2017-06-07	Wed	16	3	4
2017-06-07	Wed	17	1	0
2017-06-07	Wed	18	2	3
2017-06-07	Wed	20	1	0
2017-06-08	Thu	23	2	1
2017-06-10	Sat	01	2	9
2017-06-10	Sat	02	1	2
2017-06-10	Sat	10	1	0
2017-06-10	Sat	21	2	0
2017-06-10	Sat	22	3	3
2017-06-11	Sun	02	2	1
2017-06-12	Mon	18	2	1
2017-06-15	Thu	00	2	6
2017-06-16	Fri	19	1	1
2017-06-16	Fri	20	1	0
2017-06-16	Fri	21	1	1
2017-06-16	Fri	22	1	0
2017-06-17	Sat	21	2	1
2017-06-19	Mon	13	2	2
2017-06-21	Wed	18	3	1
2017-06-22	Thu	16	3	1
2017-06-22	Thu	17	2	0
2017-06-22	Thu	18	3	1
2017-06-22	Thu	19	1	0
2017-06-23	Fri	21	3	1
2017-06-24	Sat	01	1	0
2017-06-24	Sat	06	1	0
2017-06-24	Sat	11	3	5
2017-06-24	Sat	15	1	1
2017-06-24	Sat	21	2	0
2017-06-25	Sun	08	1	0
2017-06-25	Sun	11	1	0
2017-06-25	Sun	14	2	3
2017-06-25	Sun	15	3	3
2017-06-26	Mon	00	1	0
2017-06-26	Mon	02	2	0
2017-06-26	Mon	09	1	0
2017-06-26	Mon	15	2	4
2017-06-27	Tue	15	2	34
2017-06-27	Tue	16	2	25
2017-06-27	Tue	17	3	20
2017-06-29	Thu	08	2	0
2017-06-29	Thu	15	2	3
2017-06-29	Thu	16	3	15
2017-06-29	Thu	17	1	0
2017-06-29	Thu	22	1	0
2017-06-30	Fri	13	2	18
2017-06-30	Fri	14	2	15
2017-06-30	Fri	16	1	0
2017-06-30	Fri	17	2	0
2017-07-01	Sat	10	1	1
2017-07-01	Sat	11	1	0
2017-07-04	Tue	13	2	0
2017-07-04	Tue	15	3	6
2017-07-04	Tue	16	2	0
2017-07-05	Wed	21	1	0
2017-07-05	Wed	22	1	0
2017-07-05	Wed	23	1	0
2017-07-06	Thu	02	1	6
2017-07-06	Thu	04	3	1
2017-07-06	Thu	16	2	0
2017-07-06	Thu	17	1	0
2017-07-07	Fri	14	3	4
2017-07-09	Sun	11	2	0
2017-07-16	Sun	19	1	0
2017-07-17	Mon	17	1	0
2017-07-17	Mon	18	2	0
